,rank,1s,dbn,school_name,economic_need_index,grade_7_enrollment,num_shsat_test_takers,pct_test_takers,percent_black__hispanic,minority_delta
107,1,10.0,22K278,J.H.S. 278 MARINE PARK,0.494,428.0,98.0,33.0,63.0,75
48,2,9.0,28Q217,J.H.S. 217 ROBERT A. VAN WYCK,0.628,533.0,175.0,31.0,55.0,53
416,3,10.0,08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,0.7809999999999999,181.0,39.0,24.0,96.0,51
52,4,10.0,27Q137,M.S. 137 AMERICA'S SCHOOL OF HEROES,0.541,617.0,179.0,27.0,37.0,50
65,5,10.0,27Q202,J.H.S. 202 ROBERT H. GODDARD,0.593,350.0,98.0,26.0,55.0,44
45,6,10.0,30Q230,I.S. 230,0.601,439.0,157.0,36.0,57.0,38
445,7,10.0,30Q010,I.S. 010 HORACE GREELEY,0.605,233.0,56.0,22.0,58.0,36
71,8,10.0,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),0.418,249.0,75.0,15.0,66.0,34
453,9,6.0,31R002,I.S. R002 GEORGE L. EGBERT,0.526,323.0,75.0,26.0,34.0,30
40,10,10.0,20K220,J.H.S. 220 JOHN J. PERSHING,0.828,473.0,181.0,34.0,45.0,27
44,11,9.0,31R072,I.S. 072 ROCCO LAURIE,0.366,448.0,139.0,30.0,29.0,25
414,12,7.0,21K303,I.S. 303 HERBERT S. EISENBERG,0.703,179.0,38.0,20.0,46.0,24
443,13,10.0,15K821,SUNSET PARK PREP,0.807,165.0,53.0,32.0,76.0,23
22,14,10.0,25Q194,J.H.S. 194 WILLIAM CARR,0.34,416.0,147.0,37.0,31.0,20
77,15,9.0,11X083,P.S. 083 DONALD HERTZ,0.611,220.0,77.0,33.0,58.0,20
432,16,10.0,22K207,P.S. 207 ELIZABETH G. LEARY,0.315,162.0,43.0,30.0,49.0,19
69,17,10.0,21K228,I.S. 228 DAVID A. BOODY,0.636,417.0,160.0,38.0,34.0,17
336,18,10.0,28Q284,YORK EARLY COLLEGE ACADEMY,0.428,96.0,21.0,11.0,61.0,17
376,19,8.0,29Q208,P.S./I.S. 208,0.302,92.0,28.0,27.0,87.0,16
392,20,10.0,27Q232,P.S. 232 LINDENWOOD,0.369,121.0,33.0,32.0,50.0,14
365,21,10.0,24Q113,P.S./I.S. 113 ANTHONY J. PRANZO,0.263,109.0,26.0,19.0,41.0,12
343,22,9.0,31R080,THE MICHAEL J. PETRIDES SCHOOL,0.366,98.0,22.0,10.0,42.0,11
30,23,10.0,31R075,I.S. 075 FRANK D. PAULO,0.207,463.0,153.0,35.0,11.0,9
395,24,8.0,31R861,STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,0.569,93.0,34.0,35.0,63.0,8
344,25,10.0,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,0.667,61.0,22.0,17.0,89.0,8
73,26,10.0,24Q049,P.S. 049 DOROTHY BONAWIT KOLE,0.348,142.0,43.0,32.0,26.0,7
384,27,10.0,30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",0.561,81.0,29.0,17.0,49.0,6
102,28,10.0,02M131,M.S. 131,0.8370000000000001,165.0,54.0,38.0,22.0,6
84,29,7.0,28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",0.496,79.0,29.0,17.0,60.0,6
